N,OscNum,Topology,Coupling,InDegree,FreqVar,DelayConst,DelayVar,c1,c2
3,1,dring,0.99,1,0,0,0,3.26725635973339,3.26725635973339
3,2,dring,0.99,1,0,0,0,2.95309709437441,3.26725635973339
3,3,dring,0.99,1,0,0,0,3.0159289474462,3.20442450666159
3,1,dring,0.99,1,0,0,0,3.20442450666159,3.26725635973339
3,2,dring,0.99,1,0,0,0,3.20442450666159,3.33008821280518
3,3,dring,0.99,1,0,0,0,2.89026524130261,3.20442450666159
3,1,dring,0.99,1,0,0,0,3.20442450666159,3.20442450666159
3,2,dring,0.99,1,0,0,0,3.0159289474462,3.20442450666159
3,3,dring,0.99,1,0,0,0,3.14159265358979,3.33008821280518
4,1,dring,0.99,1,0,0,0,2.95309709437441,3.20442450666159
4,2,dring,0.99,1,0,0,0,2.95309709437441,3.26725635973339
4,3,dring,0.99,1,0,0,0,2.95309709437441,3.26725635973339
4,4,dring,0.99,1,0,0,0,2.82743338823081,3.14159265358979
4,1,dring,0.99,1,0,0,0,2.76460153515902,3.078760800518
4,2,dring,0.99,1,0,0,0,3.0159289474462,3.14159265358979
4,3,dring,0.99,1,0,0,0,3.0159289474462,3.14159265358979
4,4,dring,0.99,1,0,0,0,2.95309709437441,3.14159265358979
4,1,dring,0.99,1,0,0,0,3.0159289474462,3.20442450666159
4,2,dring,0.99,1,0,0,0,2.89026524130261,3.20442450666159
4,3,dring,0.99,1,0,0,0,2.82743338823081,3.14159265358979
4,4,dring,0.99,1,0,0,0,3.078760800518,3.14159265358979
5,1,dring,0.99,1,0,0,0,3.26725635973339,3.26725635973339
5,2,dring,0.99,1,0,0,0,2.82743338823081,3.20442450666159
5,3,dring,0.99,1,0,0,0,3.14159265358979,3.14159265358979
5,4,dring,0.99,1,0,0,0,2.82743338823081,3.14159265358979
5,5,dring,0.99,1,0,0,0,3.078760800518,3.20442450666159
5,1,dring,0.99,1,0,0,0,3.26725635973339,3.26725635973339
5,2,dring,0.99,1,0,0,0,2.82743338823081,3.14159265358979
5,3,dring,0.99,1,0,0,0,2.95309709437441,3.20442450666159
5,4,dring,0.99,1,0,0,0,3.078760800518,3.26725635973339
5,5,dring,0.99,1,0,0,0,2.95309709437441,3.20442450666159
5,1,dring,0.99,1,0,0,0,2.89026524130261,3.078760800518
5,2,dring,0.99,1,0,0,0,2.95309709437441,3.20442450666159
5,3,dring,0.99,1,0,0,0,2.76460153515902,3.078760800518
5,4,dring,0.99,1,0,0,0,3.14159265358979,3.14159265358979
5,5,dring,0.99,1,0,0,0,2.82743338823081,3.14159265358979
